id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,sum
0,0,0,6,4,0,15.0,5,0,30
1,1,0,7,3,0,10.0,8,0,30
2,6,1,1,0,1,3.0,0,1,13
3,3,0,7,3,0,11.0,5,0,32
4,1,0,4,4,0,13.0,0,0,26
5,2,0,8,5,0,7.996737263880939,3,0,23
6,1,1,8,0,1,7.996737263880939,4,0,19
7,2,0,8,3,0,4.0,5,0,29
8,4,1,2,1,1,0.0,2,1,18
9,1,0,8,6,0,14.0,9,0,47
10,3,0,7,4,0,5.0,10,0,39
11,2,0,6,3,0,4.0,8,0,34
12,3,0,5,4,0,9.0,6,0,39
13,3,0,0,5,0,12.0,5,0,38
14,3,0,6,4,0,9.0,0,0,36
15,10,0,7,6,0,5.0,8,0,41
16,0,0,6,4,0,8.0,10,0,44
17,5,0,0,4,0,2.0,0,1,29
18,1,0,4,4,0,11.0,9,0,47
19,1,0,0,5,0,10.0,3,0,38
20,1,0,9,3,0,10.0,7,0,50
21,6,0,3,2,0,1.0,3,1,38
22,4,0,0,1,0,2.0,0,1,30
23,3,0,9,7,0,6.0,3,0,51
24,1,0,5,3,0,12.0,5,0,50
25,9,0,1,3,0,7.0,5,1,52
26,3,0,6,5,0,10.0,9,0,59
27,9,0,0,0,0,1.0,1,1,39
28,2,0,0,4,0,5.0,8,0,47
29,10,0,1,0,0,4.0,0,1,36
30,3,0,9,0,0,8.0,5,0,55
31,10,0,4,0,0,11.0,5,0,51
32,1,0,9,5,0,4.0,8,0,59
33,2,0,7,5,0,11.0,9,0,67
34,5,0,1,0,0,3.0,2,1,46
35,6,0,2,3,0,1.0,3,1,52
36,3,0,6,3,0,7.0,0,0,55
37,2,0,7,4,0,5.0,3,0,58
38,2,0,8,3,0,13.0,6,0,70
39,0,0,5,4,0,11.0,4,0,63
40,0,0,8,3,0,10.0,4,0,65
41,10,0,6,5,0,14.0,3,0,69
42,2,0,6,6,0,5.0,6,0,67
43,0,0,9,4,0,11.0,5,0,72
44,9,0,1,0,0,3.0,0,1,59
45,2,0,6,0,0,11.0,4,0,68
46,2,0,7,3,0,12.0,6,0,76
47,0,0,4,7,0,14.0,3,0,75
48,10,0,1,0,0,5.0,1,1,67
49,2,0,9,7,0,6.0,4,0,77
50,7,0,0,2,0,5.0,2,1,68
51,0,0,3,6,0,5.0,8,0,73
52,0,0,7,6,0,7.0,3,0,75
53,6,0,3,3,0,5.0,0,1,72
54,4,0,3,1,0,7.996737263880939,1,1,65
55,9,0,0,0,0,2.0,1,1,69
56,3,0,9,7,0,12.0,3,0,90
57,4,0,6,3,0,8.0,7,0,85
58,8,0,0,2,0,5.0,0,1,75
59,2,0,8,6,0,14.0,9,0,98
60,9,0,4,0,0,2.0,0,1,77
61,0,0,9,3,0,4.0,5,0,82
62,10,0,6,6,0,13.0,4,0,91
63,8,0,4,2,0,7.996737263880939,0,0,79
64,9,0,2,2,0,1.0,0,1,79
65,4,0,0,2,0,0.0,2,1,74
66,5,0,8,4,0,8.0,10,0,101
67,3,0,0,7,0,6.0,9,0,92
68,7,0,0,2,0,3.0,0,1,81
69,4,0,1,0,0,0.0,2,1,78
70,3,0,4,3,0,6.0,10,0,96
71,0,0,7,4,0,15.0,9,0,106
72,2,0,8,6,0,10.0,8,0,106
73,1,0,7,5,0,12.0,4,0,102
74,2,0,6,6,0,5.0,3,0,96
75,2,0,7,5,0,10.0,8,0,107
76,10,0,0,2,0,1.0,1,1,92
77,5,0,2,3,0,1.0,3,1,92
78,0,0,5,4,0,6.0,7,0,100
79,1,0,4,4,0,12.0,8,0,108
80,2,0,9,4,0,6.0,0,0,101
81,4,0,8,5,0,8.0,6,0,112
82,0,0,6,7,0,14.0,3,0,112
83,9,0,0,3,0,4.0,0,1,101
84,3,0,7,6,0,4.0,6,0,110
85,0,0,6,4,0,6.0,6,0,107
86,1,0,8,3,0,10.0,6,0,114
87,11,0,0,2,0,1.0,2,1,104
88,3,0,6,4,0,7.996737263880939,0,0,101
89,2,0,5,5,0,5.0,3,0,109
90,0,0,5,6,0,7.996737263880939,9,0,110
91,3,0,3,7,0,4.0,9,0,117
92,10,0,1,2,0,1.0,0,1,107
93,1,0,9,7,0,7.996737263880939,6,0,116
94,2,0,5,6,0,7.0,8,0,122
95,0,0,8,6,0,6.0,5,0,120
96,9,0,1,3,0,4.0,3,1,117
97,4,0,3,0,0,0.0,1,1,107
98,0,0,6,5,0,11.0,7,0,127
99,2,0,6,3,0,7.996737263880939,7,0,117
100,1,0,6,5,0,7.0,3,0,122
101,2,0,10,6,0,10.0,7,0,136
102,6,0,2,0,0,2.0,0,0,114
103,0,0,6,6,0,11.0,6,0,132
104,10,0,6,6,0,8.0,8,0,132
105,8,0,0,2,0,1.0,0,1,117
106,2,0,10,4,0,10.0,3,0,135
107,10,0,4,4,0,5.0,6,0,126
108,9,0,6,6,0,15.0,4,0,148
109,2,0,6,5,0,6.0,6,0,134
110,0,0,9,4,0,14.0,6,0,143
111,3,0,4,3,0,14.0,7,0,142
112,3,0,5,3,0,7.0,9,0,139
113,0,0,10,4,0,9.0,8,0,144
114,5,0,0,3,0,5.0,2,1,131
115,2,0,4,4,0,12.0,4,0,141
116,1,0,4,5,0,8.0,6,0,140
117,0,0,6,5,0,13.0,8,0,149
118,3,0,4,6,0,12.0,7,0,150
119,10,0,0,2,0,4.0,0,1,137
120,1,0,9,3,0,9.0,0,0,142
121,9,0,3,0,0,0.0,1,1,136
122,6,0,1,0,0,0.0,1,1,132
123,7,0,3,1,0,5.0,0,1,141
124,4,0,7,6,0,11.0,3,1,155
125,1,0,6,3,0,9.0,9,0,153
126,3,0,4,7,0,7.0,3,0,150
127,1,0,9,4,0,6.0,7,0,154
128,1,0,4,6,0,8.0,8,0,155
129,10,0,4,4,0,15.0,3,0,155
130,10,0,0,0,0,0.0,0,1,142
131,2,0,9,4,0,15.0,8,0,169
132,10,0,8,5,0,15.0,7,0,167
133,0,0,5,7,0,7.0,9,0,161
134,3,0,4,6,0,13.0,6,0,166
135,3,0,9,6,0,11.0,9,0,173
136,1,0,9,3,0,12.0,9,0,170
137,0,0,3,3,0,4.0,8,0,155
138,3,0,8,7,0,7.996737263880939,3,0,159
139,11,0,2,2,0,2.0,2,0,159
140,4,0,7,6,0,11.0,6,0,174
141,2,0,8,6,0,11.0,6,0,174
142,1,0,7,4,0,12.0,4,0,170
143,1,0,3,6,0,12.0,9,0,174
144,3,0,4,4,0,9.0,9,0,173
145,1,0,4,5,0,8.0,0,0,163
146,1,0,7,4,0,14.0,0,0,172
147,7,0,3,1,0,3.0,0,1,163
148,1,0,9,3,0,11.0,7,0,179
149,0,0,4,6,0,7.996737263880939,3,1,162
150,6,0,0,1,0,3.0,1,1,163
151,7,0,0,2,0,0.0,2,1,163
152,10,0,1,2,0,3.0,3,1,163
153,0,0,6,3,0,10.0,3,0,175
154,2,0,4,7,0,5.0,6,0,178
155,10,0,0,1,0,7.996737263880939,2,1,170
156,10,0,0,0,0,4.0,2,1,174
157,3,0,5,5,0,7.0,6,0,183
158,11,0,0,2,0,4.0,0,1,176
159,10,0,3,0,0,2.0,0,1,175
160,0,0,9,5,0,15.0,0,0,189
161,10,0,6,5,0,10.0,3,0,185
162,0,0,7,7,0,15.0,3,0,194
163,4,0,2,0,0,0.0,0,1,171
164,2,0,9,3,0,14.0,3,0,195
165,6,0,0,0,0,7.996737263880939,1,1,174
166,1,0,7,3,0,8.0,8,0,193
167,3,0,6,4,0,13.0,4,0,197
